title,attacker_nationality,defender_nationality,source
Grenades Knives and Fists,SOVIET,FINNISH,BFP6: Mannerheim Cross
Delaying Action at Krylänmäki,SOVIET,FINNISH,BFP6: Mannerheim Cross
No Vacancy,FINNISH,SOVIET,BFP6: Mannerheim Cross
Tolvajarvi Tussle,FINNISH,SOVIET,BFP6: Mannerheim Cross
Little Tin Can Opener,SOVIET,FINNISH,BFP6: Mannerheim Cross
Leningrad Reds,FINNISH,SOVIET,BFP6: Mannerheim Cross
Attacking the Giant,SOVIET,FINNISH,BFP6: Mannerheim Cross
Gateway to Viipuri,SOVIET,FINNISH,BFP6: Mannerheim Cross
Mutka Strikes Again,SOVIET,FINNISH,BFP6: Mannerheim Cross
Machine Gun Alley,FINNISH,SOVIET,BFP6: Mannerheim Cross
Karelian Sculptors,FINNISH,SOVIET,BFP6: Mannerheim Cross
Red Ice,SOVIET,FINNISH,BFP6: Mannerheim Cross
Hand Delivered Sausage,SOVIET,FINNISH,BFP6: Mannerheim Cross
Million Dollar Bash,SOVIET,FINNISH,BFP6: Mannerheim Cross
Fire and Brimstone,SOVIET,FINNISH,BFP6: Mannerheim Cross
Summajarvi 5,SOVIET,FINNISH,BFP6: Mannerheim Cross
Haunted Zoo,FINNISH,SOVIET,BFP6: Mannerheim Cross
Muolaa 1,SOVIET,FINNISH,BFP6: Mannerheim Cross
Leningrad Monsters,SOVIET,FINNISH,BFP6: Mannerheim Cross
Last Minute Heroics,SOVIET,FINNISH,BFP6: Mannerheim Cross
The Tyrant's Block,SOVIET,FINNISH,BFP6: Mannerheim Cross
Teaching Superman,GERMAN,SOVIET,BFP6: Mannerheim Cross
Beauty Ruined,FINNISH,SOVIET,BFP6: Mannerheim Cross
Kalevela Beckons,SOVIET,FINNISH,BFP6: Mannerheim Cross
Castle of Onega,FINNISH,SOVIET,BFP6: Mannerheim Cross
Hostage to Fortune,FINNISH,SOVIET,BFP6: Mannerheim Cross
Hell Frozen Over,FINNISH,SOVIET,BFP6: Mannerheim Cross
The 11th Man,SOVIET,FINNISH,BFP6: Mannerheim Cross
Karelian Inferno,SOVIET,FINNISH,BFP6: Mannerheim Cross
Call Them Bazookas,SOVIET,FINNISH,BFP6: Mannerheim Cross
Stig's Stugs,SOVIET,FINNISH,BFP6: Mannerheim Cross
Under the Bloody Birches,SOVIET,FINNISH,BFP6: Mannerheim Cross
The Anzio of East Karelia,SOVIET,FINNISH,BFP6: Mannerheim Cross
Bad Blood,FINNISH,SOVIET,BFP6: Mannerheim Cross
Blick's Balk,SOVIET,FINNISH,BFP6: Mannerheim Cross
Talinmylly Motti,SOVIET,FINNISH,BFP6: Mannerheim Cross
Tali Whacker,SOVIET,FINNISH,BFP6: Mannerheim Cross
